track_title,track_speaker,track_duration,comment_timestamp,comment_url,comment_commenter_username,comment_keyword
"Alex March 11 - 2015 - 03 - 11, 5.28 PM",Alex,621328,77956,http://soundcloud.com/openedmonton/alex-march-11-2015-03-11-528-pm#t=1m17s,fahim hassan,digital public space
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,397959,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=6m37s,OpenEdmonton,programming
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,385014,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=6m25s,OpenEdmonton,Grandfather
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,319376,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=5m19s,OpenEdmonton,software development
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,183477,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=3m3s,OpenEdmonton,Open Edmonton
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,83139,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=1m23s,OpenEdmonton,volunteer
"Connor March 18 - 2015 - 03 - 18, 6.24 PM",Connor,573753,20871,http://soundcloud.com/openedmonton/connor-march-18-2015-03-18-624-pm#t=0m20s,OpenEdmonton,civic tech
Holly A. March 3,Holly A.,503922,460791,http://soundcloud.com/openedmonton/holly-a-march-3#t=7m40s,cmoresid,river valley
Holly A. March 3,Holly A.,503922,449254,http://soundcloud.com/openedmonton/holly-a-march-3#t=7m29s,cmoresid,dark crisp winter sky
Holly A. March 3,Holly A.,503922,428535,http://soundcloud.com/openedmonton/holly-a-march-3#t=7m8s,cmoresid,winter memory
Holly A. March 3,Holly A.,503922,394445,http://soundcloud.com/openedmonton/holly-a-march-3#t=6m34s,cmoresid,3D printers
Holly A. March 3,Holly A.,503922,322886,http://soundcloud.com/openedmonton/holly-a-march-3#t=5m22s,cmoresid,technology
Holly A. March 3,Holly A.,503922,322886,http://soundcloud.com/openedmonton/holly-a-march-3#t=5m22s,cmoresid,library
Holly A. March 3,Holly A.,503922,320146,http://soundcloud.com/openedmonton/holly-a-march-3#t=5m20s,cmoresid,Makerspace
Holly A. March 3,Holly A.,503922,282981,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m42s,cmoresid,winter
Holly A. March 3,Holly A.,503922,282981,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m42s,cmoresid,struggle
Holly A. March 3,Holly A.,503922,282981,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m42s,cmoresid,downtown
Holly A. March 3,Holly A.,503922,268020,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m28s,cmoresid,grandparents
Holly A. March 3,Holly A.,503922,268020,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m28s,cmoresid,hard times
Holly A. March 3,Holly A.,503922,256383,http://soundcloud.com/openedmonton/holly-a-march-3#t=4m16s,cmoresid,grandparents
Holly A. March 3,Holly A.,503922,238109,http://soundcloud.com/openedmonton/holly-a-march-3#t=3m58s,cmoresid,survive winter
Holly A. March 3,Holly A.,503922,223968,http://soundcloud.com/openedmonton/holly-a-march-3#t=3m43s,cmoresid,winter
Holly A. March 3,Holly A.,503922,223968,http://soundcloud.com/openedmonton/holly-a-march-3#t=3m43s,cmoresid,long nights
Holly A. March 3,Holly A.,503922,197012,http://soundcloud.com/openedmonton/holly-a-march-3#t=3m17s,cmoresid,winter
Holly A. March 3,Holly A.,503922,197012,http://soundcloud.com/openedmonton/holly-a-march-3#t=3m17s,cmoresid,tv shows
Holly A. March 3,Holly A.,503922,155690,http://soundcloud.com/openedmonton/holly-a-march-3#t=2m35s,cmoresid,Holly
Holly A. March 3,Holly A.,503922,155690,http://soundcloud.com/openedmonton/holly-a-march-3#t=2m35s,cmoresid,winter
Holly A. March 3,Holly A.,503922,112786,http://soundcloud.com/openedmonton/holly-a-march-3#t=1m52s,cmoresid,awesome
Holly A. March 3,Holly A.,503922,112786,http://soundcloud.com/openedmonton/holly-a-march-3#t=1m52s,cmoresid,hamburger hill
Holly A. March 3,Holly A.,503922,102059,http://soundcloud.com/openedmonton/holly-a-march-3#t=1m42s,cmoresid,favourite toboggan hill
Holly A. March 3,Holly A.,503922,76202,http://soundcloud.com/openedmonton/holly-a-march-3#t=1m16s,cmoresid,snow
Holly A. March 3,Holly A.,503922,38128,http://soundcloud.com/openedmonton/holly-a-march-3#t=0m38s,cmoresid,winter
Holly A. March 3,Holly A.,503922,17713,http://soundcloud.com/openedmonton/holly-a-march-3#t=0m17s,cmoresid,Makerspace
Holly A. March 3,Holly A.,503922,10354,http://soundcloud.com/openedmonton/holly-a-march-3#t=0m10s,cmoresid,edmonton public library
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,730481,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=12m10s,OpenEdmonton,birthday gift
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,730481,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=12m10s,OpenEdmonton,guitar
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,642947,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=10m42s,OpenEdmonton,the artery
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,612438,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=10m12s,OpenEdmonton,raygun cowboys
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,573457,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=9m33s,OpenEdmonton,pawn shop
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,251715,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=4m11s,OpenEdmonton,Filthy McNasty's
"Jason March 19 - 2015 - 03 - 18, 5.56 PM",Jason,878449,202629,http://soundcloud.com/openedmonton/jason-march-19-2015-03-18-556-pm#t=3m22s,OpenEdmonton,Punk scene
